Series;Time;Value
TB Bond Vibration;2021-05-24T12:06:23+02:00;0.026771250000000003
TB Bond Vibration;2021-05-24T12:06:24+02:00;0.026739412499999997
TB Bond Vibration;2021-05-24T12:06:25+02:00;0.0268601625
TB Bond Vibration;2021-05-24T12:06:26+02:00;0.0268429125
TB Bond Vibration;2021-05-24T12:06:27+02:00;0.026836275
TB Bond Vibration;2021-05-24T12:06:28+02:00;0.0269649875
TB Bond Vibration;2021-05-24T12:06:29+02:00;0.0268787375
TB Bond Vibration;2021-05-24T12:06:30+02:00;0.0268575
TB Bond Vibration;2021-05-24T12:06:31+02:00;0.0268070875
TB Bond Vibration;2021-05-24T12:06:32+02:00;0.026889362500000003
TB Bond Vibration;2021-05-24T12:06:33+02:00;0.0269265
TB Bond Vibration;2021-05-24T12:06:34+02:00;0.026845562499999996
TB Bond Vibration;2021-05-24T12:06:35+02:00;0.02672215
TB Bond Vibration;2021-05-24T12:06:36+02:00;0.02688405
TB Bond Vibration;2021-05-24T12:06:37+02:00;0.026870775000000003
TB Bond Vibration;2021-05-24T12:06:38+02:00;0.0269849
TB Bond Vibration;2021-05-24T12:06:39+02:00;0.026899975
TB Bond Vibration;2021-05-24T12:06:40+02:00;0.02684955
TB Bond Vibration;2021-05-24T12:06:41+02:00;0.02675665
TB Bond Vibration;2021-05-24T12:06:42+02:00;0.026870775000000003
TB Bond Vibration;2021-05-24T12:06:43+02:00;0.026781875
TB Bond Vibration;2021-05-24T12:06:44+02:00;0.0268468875
TB Bond Vibration;2021-05-24T12:06:45+02:00;0.026765937499999996
TB Bond Vibration;2021-05-24T12:06:46+02:00;0.02688405
TB Bond Vibration;2021-05-24T12:06:47+02:00;0.0267752375
TB Bond Vibration;2021-05-24T12:06:48+02:00;0.0269013
TB Bond Vibration;2021-05-24T12:06:49+02:00;0.0268813875
TB Bond Vibration;2021-05-24T12:06:50+02:00;0.02693315
TB Bond Vibration;2021-05-24T12:06:51+02:00;0.0270220625
TB Bond Vibration;2021-05-24T12:06:52+02:00;0.026577499999999997
TB Bond Vibration;2021-05-24T12:06:53+02:00;0.0266266
TB Bond Vibration;2021-05-24T12:06:54+02:00;0.0266995875
TB Bond Vibration;2021-05-24T12:06:55+02:00;0.026927837500000003
TB Bond Vibration;2021-05-24T12:06:56+02:00;0.026683675
TB Bond Vibration;2021-05-24T12:06:57+02:00;0.026931825
TB Bond Vibration;2021-05-24T12:06:58+02:00;0.026789825
TB Bond Vibration;2021-05-24T12:06:59+02:00;0.0268813875
TB Bond Vibration;2021-05-24T12:07:00+02:00;0.026922525000000003
TB Bond Vibration;2021-05-24T12:07:01+02:00;0.0269185375
TB Bond Vibration;2021-05-24T12:07:02+02:00;0.0268973125
TB Bond Vibration;2021-05-24T12:07:03+02:00;0.0269291625
TB Bond Vibration;2021-05-24T12:07:04+02:00;0.026866800000000003
TB Bond Vibration;2021-05-24T12:07:05+02:00;0.0268429125
TB Bond Vibration;2021-05-24T12:07:06+02:00;0.0269769375
TB Bond Vibration;2021-05-24T12:07:07+02:00;0.026959687500000003
TB Bond Vibration;2021-05-24T12:07:08+02:00;0.026870775000000003
TB Bond Vibration;2021-05-24T12:07:09+02:00;0.02682035
TB Bond Vibration;2021-05-24T12:07:10+02:00;0.0269543875
TB Bond Vibration;2021-05-24T12:07:11+02:00;0.0267447125
TB Bond Vibration;2021-05-24T12:07:12+02:00;0.026905275
TB Bond Vibration;2021-05-24T12:07:13+02:00;0.02670225
TB Bond Vibration;2021-05-24T12:07:14+02:00;0.026781875
TB Bond Vibration;2021-05-24T12:07:15+02:00;0.0268760875
TB Bond Vibration;2021-05-24T12:07:16+02:00;0.0267632875
TB Bond Vibration;2021-05-24T12:07:17+02:00;0.026781875
TB Bond Vibration;2021-05-24T12:07:18+02:00;0.0267248
TB Bond Vibration;2021-05-24T12:07:19+02:00;0.0267155125
TB Bond Vibration;2021-05-24T12:07:20+02:00;0.026740725
TB Bond Vibration;2021-05-24T12:07:21+02:00;0.026819025000000003
TB Bond Vibration;2021-05-24T12:07:22+02:00;0.0267752375
TB Bond Vibration;2021-05-24T12:07:23+02:00;0.026873437500000003
TB Bond Vibration;2021-05-24T12:07:24+02:00;0.026848224999999996
TB Bond Vibration;2021-05-24T12:07:25+02:00;0.0268946625
TB Bond Vibration;2021-05-24T12:07:26+02:00;0.0268813875
TB Bond Vibration;2021-05-24T12:07:27+02:00;0.026736749999999997
TB Bond Vibration;2021-05-24T12:07:28+02:00;0.0267632875
TB Bond Vibration;2021-05-24T12:07:29+02:00;0.026691625000000004
TB Bond Vibration;2021-05-24T12:07:30+02:00;0.026643862499999997
TB Bond Vibration;2021-05-24T12:07:31+02:00;0.026864149999999996
TB Bond Vibration;2021-05-24T12:07:32+02:00;0.0269013
TB Bond Vibration;2021-05-24T12:07:33+02:00;0.0268243375
TB Bond Vibration;2021-05-24T12:07:34+02:00;0.026789825
TB Bond Vibration;2021-05-24T12:07:35+02:00;0.026951725
TB Bond Vibration;2021-05-24T12:07:36+02:00;0.02691325
TB Bond Vibration;2021-05-24T12:07:37+02:00;0.0267274625
TB Bond Vibration;2021-05-24T12:07:38+02:00;0.0267088875
TB Bond Vibration;2021-05-24T12:07:39+02:00;0.026931825
TB Bond Vibration;2021-05-24T12:07:40+02:00;0.0266611125
TB Bond Vibration;2021-05-24T12:07:41+02:00;0.026873437500000003
TB Bond Vibration;2021-05-24T12:07:42+02:00;0.026781875
TB Bond Vibration;2021-05-24T12:07:43+02:00;0.026784524999999997
TB Bond Vibration;2021-05-24T12:07:44+02:00;0.026905275
TB Bond Vibration;2021-05-24T12:07:45+02:00;0.0269583625
TB Bond Vibration;2021-05-24T12:07:47+02:00;0.0268813875
TB Bond Vibration;2021-05-24T12:07:48+02:00;0.0267951375
TB Bond Vibration;2021-05-24T12:07:49+02:00;0.0267792125
TB Bond Vibration;2021-05-24T12:07:50+02:00;0.026898650000000003
TB Bond Vibration;2021-05-24T12:07:51+02:00;0.026885375
