sep=;
"Series";"Time";"Value"
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083013
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083182
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083366
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083982
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.08294
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083644
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082861
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083103
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083273
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082817
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082914
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082374
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082825
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.08314
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083905
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083584
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084042
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084632
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084098
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.0846
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.085274
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084594
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085834
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085398
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084386
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084441
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084417
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084975
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.086193
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085943
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085638
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085026
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084245
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083987
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084168
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084754
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084539
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084868
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084502
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084764
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.086337
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.086182
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085182
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085081
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085008
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084698
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085364
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085357
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085013
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084864
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084244
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083226
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083303
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.082603
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.08265
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083209
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083091
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083102
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083237
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083014
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083211
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083787
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084521
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084957
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083647
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083925
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084134
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084155
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084149
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084768
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083913
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.08378
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.083407
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.08493
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085622
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085697
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085836
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085529
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.085167
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.084835
"TD FFT Band 0";"2021-05-24T12:07:00+02:00";0.08476
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084432
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084944
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084823
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.085491
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084568
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084229
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.08315
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083567
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.08396
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083563
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083688
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083418
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083268
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082631
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082277
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.08198
