Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables
Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Calc Key Parm;Calc Key Parm;CB DS;CB DS;CB OP;CB OP;Check Edge Suff. Bonds;Check Edge Suff. Bonds;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable
CB Avg Bond Site Area (pix);N Bonds Expected in ROI;CB Unacceptable Limit - N Bonds in ROI;CB Acceptable Limit - N Bonds in ROI;HB Avg Bond Site Area (pix);HB Acceptable Limit - N Bonds in ROI;HB Unacceptable Limit - N Bonds in ROI;MD Iterations;MD Iteration Length;Percentage of Area;Pixel Count;Percentage of Area;Pixel Count;[DB] CB Num Bonds OP;[DB] CB Num Bonds DS;92203662.01;92203662.01c;92203662.02;92203662.02c;99971742.01;99971742.01c;99971742.02;99971742.02c;vALL.Image.Confidence;vALL.Image.Name
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;36,53846;114;633,33333;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133639_957_P3880.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;43,58974;136;755,55556;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133643_057_P3942.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;42,94872;134;744,44444;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133644_607_P3973.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;39,74359;124;688,88889;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133646_157_P4004.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;38,14103;119;661,11111;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133649_257_P4066.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;40,70513;127;705,55556;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133650_807_P4097.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;46,52778;134;744,44444;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133652_357_P4128.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;39,74359;124;688,88889;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133655_457_P4190.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;43,40278;125;694,44444;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133658_557_P4252.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;42,30769;132;733,33333;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133700_107_P4283.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;41,34615;129;716,66667;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133701_657_P4314.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;44,23077;138;766,66667;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133703_207_P4345.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;41,98718;131;727,77778;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133704_957_P4380.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;37,5;117;650;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133706_507_P4411.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;43,58974;136;755,55556;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133708_057_P4442.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;43,26923;135;750;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133709_607_P4473.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;41,66667;130;722,22222;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133711_157_P4504.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;41,98718;131;727,77778;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133712_707_P4535.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;41,98718;131;727,77778;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133714_257_P4566.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;41,34615;129;716,66667;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133715_807_P4597.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,23077;138;44,23077;138;766,66667;766,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133717_357_P4628.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;42,62821;133;738,88889;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133718_907_P4659.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;42,30769;132;733,33333;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133720_457_P4690.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;45,51282;142;788,88889;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133722_007_P4721.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;43,91026;137;761,11111;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133723_557_P4752.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;37,5;117;650;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133726_657_P4814.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,10256;122;40,0641;125;694,44444;677,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133728_207_P4845.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;42,36111;122;677,77778;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133732_857_P4938.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;46,18056;133;738,88889;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133737_507_P5031.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,55128;139;41,02564;128;711,11111;772,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133739_057_P5062.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;48,07692;150;42,62821;133;738,88889;833,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133740_607_P5093.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;40,70513;127;705,55556;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133742_157_P5124.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;43,58974;136;755,55556;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133743_707_P5155.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;38,14103;119;661,11111;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133747_057_P5222.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;39,10256;122;677,77778;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133750_157_P5284.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;41,98718;131;727,77778;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133753_307_P5347.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,10256;122;41,66667;130;722,22222;677,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133757_957_P5440.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;43,58974;136;755,55556;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133759_607_P5473.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;41,98718;131;727,77778;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133801_157_P5504.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;45,13889;130;722,22222;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133802_707_P5535.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;41,34615;129;716,66667;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133804_257_P5566.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;41,02564;128;711,11111;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133805_807_P5597.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;36,21795;113;627,77778;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133807_357_P5628.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;41,34615;129;716,66667;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133810_457_P5690.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;42,94872;134;744,44444;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133812_007_P5721.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;46,15385;144;42,30769;132;733,33333;800;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133813_557_P5752.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;37,17949;116;644,44444;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133815_107_P5783.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;46,18056;133;738,88889;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133816_657_P5814.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;39,74359;124;688,88889;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133818_407_P5849.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;41,66667;130;722,22222;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133819_957_P5880.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;41,66667;130;722,22222;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133821_507_P5911.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;42,36111;122;677,77778;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133823_057_P5942.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;38,46154;120;666,66667;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133824_607_P5973.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;48,61111;140;777,77778;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133826_307_P6007.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;40,38462;126;700;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133827_857_P6038.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;41,34615;129;716,66667;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133829_407_P6069.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;45,51282;142;788,88889;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133830_957_P6100.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,46154;120;40,0641;125;694,44444;666,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133832_507_P6131.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;40,70513;127;705,55556;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133834_057_P6162.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;41,98718;131;727,77778;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133835_607_P6193.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;39,74359;124;688,88889;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133838_757_P6256.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;43,26923;135;750;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133840_307_P6287.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;43,26923;135;750;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_133843_407_P6349.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,23077;138;40,70513;127;705,55556;766,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134317_167_P261.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;41,98718;131;727,77778;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134318_717_P292.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;42,30769;132;733,33333;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134320_267_P323.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,46154;120;43,26923;135;750;666,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134324_917_P416.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,55128;139;38,14103;119;661,11111;772,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134326_467_P447.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;40,0641;125;694,44444;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134328_017_P478.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;42,36111;122;677,77778;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134329_567_P509.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;41,02564;128;711,11111;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134331_117_P540.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;43,91026;137;761,11111;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134332_667_P571.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;41,98718;131;727,77778;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134334_217_P602.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;36,85897;115;638,88889;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134335_767_P633.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;41,02564;128;711,11111;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134337_317_P664.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;37,5;117;650;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134338_867_P695.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;46,15385;144;38,78205;121;672,22222;800;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134340_417_P726.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;37,5;117;650;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134341_967_P757.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,02564;128;39,10256;122;677,77778;711,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134343_517_P788.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;42,62821;133;738,88889;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134345_067_P819.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;41,98718;131;727,77778;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134348_167_P881.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;41,98718;131;727,77778;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134349_717_P912.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;41,02564;128;711,11111;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134351_267_P943.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;39,10256;122;677,77778;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134352_817_P974.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;44,23077;138;766,66667;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134354_367_P1005.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,55128;139;29,80769;93;516,66667;772,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134356_167_P1041.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;39,10256;122;677,77778;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134359_517_P1108.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,14103;119;37,82051;118;655,55556;661,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134401_067_P1139.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;43,58974;136;755,55556;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134402_617_P1170.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;38,14103;119;661,11111;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134404_167_P1201.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;41,98718;131;727,77778;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134405_717_P1232.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;45,19231;141;37,82051;118;655,55556;783,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134407_267_P1263.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,70513;127;42,70833;123;683,33333;705,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134408_817_P1294.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;46,15385;144;800;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134410_367_P1325.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;43,26923;135;750;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134411_917_P1356.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;43,26923;135;750;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134413_467_P1387.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;41,02564;128;711,11111;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134416_567_P1449.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;38,14103;119;661,11111;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134418_117_P1480.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;41,98718;131;727,77778;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134419_667_P1511.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;41,34615;129;716,66667;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134421_217_P1542.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;39,74359;124;688,88889;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134422_767_P1573.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;39,10256;122;677,77778;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134424_317_P1604.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,26923;135;39,74359;124;688,88889;750;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134426_117_P1640.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;36,85897;115;638,88889;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134427_667_P1671.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;37,5;117;650;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134429_217_P1702.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;45,83333;132;733,33333;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134430_767_P1733.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;41,34615;129;716,66667;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134432_317_P1764.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;39,42308;123;683,33333;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134602_394_P254.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,74359;124;37,82051;118;655,55556;688,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134603_944_P285.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;41,34615;129;716,66667;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134605_494_P316.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;45,51282;142;788,88889;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134607_044_P347.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;43,26923;135;750;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134608_594_P378.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;39,10256;122;677,77778;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134610_144_P409.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;35,25641;110;41,98718;131;727,77778;611,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134611_694_P440.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,42308;123;35,25641;110;611,11111;683,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134613_244_P471.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;44,23077;138;766,66667;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134614_894_P504.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;41,34615;129;716,66667;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134616_444_P535.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;43,26923;135;750;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134618_044_P567.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;40,625;117;650;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134619_594_P598.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,38462;126;40,0641;125;694,44444;700;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134621_144_P629.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;44,23077;138;39,74359;124;688,88889;766,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134622_694_P660.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,66667;130;42,62821;133;738,88889;722,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134624_244_P691.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;39,10256;122;677,77778;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134625_794_P722.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,46154;120;42,94872;134;744,44444;666,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134627_344_P753.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;40,0641;125;40,0641;125;694,44444;694,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134628_894_P784.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;40,38462;126;700;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134632_044_P847.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;39,10256;122;42,94872;134;744,44444;677,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134633_594_P878.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;37,5;117;650;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134635_144_P909.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;39,10256;122;677,77778;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134636_694_P940.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;38,14103;119;661,11111;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134638_244_P971.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;37,82051;118;655,55556;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134639_794_P1002.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,98718;131;40,70513;127;705,55556;727,77778;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134641_394_P1034.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;46,18056;133;738,88889;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134642_944_P1065.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;38,78205;121;36,53846;114;633,33333;672,22222;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134644_494_P1096.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;41,66667;130;722,22222;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_134647_594_P1158.jpg
